source,target,value
Mohammad Asif,G Gambhir,"['0', '0', '0', '0', '0', '1', '1', '1', '1', '1', 'W', 'wd']"
Mohammad Asif,RV Uthappa,"['0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '4', '4']"
Mohammad Asif,V Sehwag,['W']
Mohammad Asif,Yuvraj Singh,"['1', 'W']"
Mohammad Asif,KD Karthik,"['0', '0', '0', '0', '2', '4', '4', 'W', 'wd']"
Mohammad Asif,MS Dhoni,"['0', '0']"
Mohammad Asif,YK Pathan,"['1', '3', '4', '6', 'W']"
Umar Gul,RV Uthappa,"['0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '2', '2', '4', 'wd']"
Umar Gul,V Sehwag,"['1', '4']"
Umar Gul,Yuvraj Singh,"['0', '1', '1lb', 'W', 'wd']"
Umar Gul,KD Karthik,['1']
Umar Gul,AB Agarkar,"['0', '1', '4', '4']"
Umar Gul,MS Dhoni,"['0', '0', '0', '0nb', '1', '1', 'W']"
Umar Gul,G Gambhir,"['0', '0', '0', '1', '1', '1', '1', '1', '1', '4', '4', '6', 'W']"
Umar Gul,RG Sharma,"['0', '1', '1', '1', '1']"
Yasir Arafat,RV Uthappa,"['0', '0', '1', '2', '2', '2', '6', '6']"
Yasir Arafat,MS Dhoni,"['0', '1', '1', '1lb', '4', '4', '6', 'W']"
Yasir Arafat,Harbhajan Singh,"['0', '0', '1']"
Yasir Arafat,AB Agarkar,"['1', '1']"
Yasir Arafat,S Sreesanth,"['0', '1', 'W']"
Yasir Arafat,RG Sharma,"['1', '1', '1', '2', '4', '4']"
Yasir Arafat,G Gambhir,"['0', '1', '1', '2']"
Yasir Arafat,IK Pathan,"['0', '2']"
Sohail Tanvir,MS Dhoni,"['0', '0', '0', '0', '0', '0', '1', '1', '1', '1', '1', '1', '4', 'wd']"
Sohail Tanvir,RV Uthappa,"['0', '0', '0', '1', '1', '1', '1', '1', '2', 'W', 'W', 'wd']"
Sohail Tanvir,IK Pathan,"['0', '0', '0', '1', '1', '1', '1']"
Sohail Tanvir,YK Pathan,"['0', '0', '1']"
Sohail Tanvir,G Gambhir,"['0', '1', '1', '1', '1', '1', '4', 'wd']"
Sohail Tanvir,Yuvraj Singh,"['0', '0']"
Sohail Tanvir,RG Sharma,"['1', '2', '2', '2', '6']"
Shahid Afridi,MS Dhoni,"['0', '0', '1', '1', '1', '1', '1', '1', '1', '2', '2']"
Shahid Afridi,RV Uthappa,"['0', '1', '2', '4', '4']"
Shahid Afridi,IK Pathan,"['0', '0', '0', '1', '1', '3', '6', '6', 'W']"
Shahid Afridi,Harbhajan Singh,['W']
Shahid Afridi,AB Agarkar,"['1', '1', '1']"
Shahid Afridi,G Gambhir,"['0', '0', '0', '1', '1', '1', '1', '1lb', '2', '4', '6']"
Shahid Afridi,Yuvraj Singh,"['0', '0', '1', '1', '1', '1', '1', '4']"
RP Singh,Salman Butt,"['0', '0', '0', '0', '0', '0', '1', '1', '1', '1', 'wd', 'wd']"
RP Singh,Imran Nazir,"['0', '0', '0', '0', '0', '1', '1', '1', '1nb', '4', '4', '4', 'W', 'wd']"
RP Singh,Kamran Akmal,"['0', '0', '0', '0', '0', '1', '1', '1lb', '2lb', '4', '6', 'W']"
RP Singh,L Vincent,"['1', '1', 'W']"
RP Singh,BB McCullum,"['0', '0', '0', '0', '1', '1', '1lb', '1lb', '4', '4', '4', '4', 'wd']"
RP Singh,PG Fulton,"['1', '1', '1lb', 'wd']"
RP Singh,DL Vettori,['W']
RP Singh,SE Bond,"['4', 'W']"
RP Singh,CD McMillan,['1']
RP Singh,MR Gillespie,['W']
RP Singh,JS Patel,['W']
RP Singh,DL Maddy,"['1', '1', '1lb', '2', '4']"
RP Singh,VS Solanki,"['0', '0', '0', '1', '1', '4', '4']"
